"PROVINCE","AGE5","ZONA91OK","VARIABLE","FREQUENCY","VAR4","VAR3","VAR2"
1,"10-14",101,"SPAIN_1998",614,"SPAIN_1998","SPAIN_1998","SPAIN_1998"
4,"30-34",4079,"SPAIN_1998",1943,"SPAIN_1998","SPAIN_1998","SPAIN_1998"
7,"50-54",712,"SPAIN_1998",59,"SPAIN_1998","SPAIN_1998","SPAIN_1998"
8,"40-44",8205,"SPAIN_1998",201,"SPAIN_1998","SPAIN_1998","SPAIN_1998"
11,"35-39",11022,"SPAIN_1998",188,"SPAIN_1998","SPAIN_1998","SPAIN_1998"
14,"40-44",14021,"SPAIN_1998",10859,"SPAIN_1998","SPAIN_1998","SPAIN_1998"
17,"30-34",1714,"SPAIN_1998",93,"SPAIN_1998","SPAIN_1998","SPAIN_1998"
20,"45-49",20067,"SPAIN_1998",1494,"SPAIN_1998","SPAIN_1998","SPAIN_1998"
24,"20-24",2414,"SPAIN_1998",60,"SPAIN_1998","SPAIN_1998","SPAIN_1998"
28,"20-24",2810,"SPAIN_1998",1001,"SPAIN_1998","SPAIN_1998","SPAIN_1998"
30,"20-24",300799,"SPAIN_1998",1000,"SPAIN_1998","SPAIN_1998","SPAIN_1998"
33,"30-34",3305,"SPAIN_1998",689,"SPAIN_1998","SPAIN_1998","SPAIN_1998"
36,"45-49",36026,"SPAIN_1998",675,"SPAIN_1998","SPAIN_1998","SPAIN_1998"
41,"15-19",41024,"SPAIN_1998",934,"SPAIN_1998","SPAIN_1998","SPAIN_1998"
44,"20-24",4405,"SPAIN_1998",51,"SPAIN_1998","SPAIN_1998","SPAIN_1998"
46,"35-39",4607,"SPAIN_1998",1240,"SPAIN_1998","SPAIN_1998","SPAIN_1998"
48,"50-54",48015,"SPAIN_1998",165,"SPAIN_1998","SPAIN_1998","SPAIN_1998"
3,"30-34",308,"EU15DC_1998",13,"EU15DC_1998","EU15DC_1998","EU15DC_1998"
6,"40-44",610,"EU15DC_1998",0,"EU15DC_1998","EU15DC_1998","EU15DC_1998"
8,"25-29",8121,"EU15DC_1998",14,"EU15DC_1998","EU15DC_1998","EU15DC_1998"
10,"20-24",1006,"EU15DC_1998",2,"EU15DC_1998","EU15DC_1998","EU15DC_1998"
13,"30-34",1307,"EU15DC_1998",2,"EU15DC_1998","EU15DC_1998","EU15DC_1998"
15,"45-49",1511,"EU15DC_1998",2,"EU15DC_1998","EU15DC_1998","EU15DC_1998"
18,"45-49",1813,"EU15DC_1998",0,"EU15DC_1998","EU15DC_1998","EU15DC_1998"
23,"15-19",2308,"EU15DC_1998",3,"EU15DC_1998","EU15DC_1998","EU15DC_1998"
26,"45-49",2605,"EU15DC_1998",0,"EU15DC_1998","EU15DC_1998","EU15DC_1998"
29,"15-19",2910,"EU15DC_1998",40,"EU15DC_1998","EU15DC_1998","EU15DC_1998"
31,"50-54",310799,"EU15DC_1998",1,"EU15DC_1998","EU15DC_1998","EU15DC_1998"
35,"40-44",35026,"EU15DC_1998",18,"EU15DC_1998","EU15DC_1998","EU15DC_1998"
38,"50-54",3811,"EU15DC_1998",41,"EU15DC_1998","EU15DC_1998","EU15DC_1998"
41,"50-54",411199,"EU15DC_1998",1,"EU15DC_1998","EU15DC_1998","EU15DC_1998"
46,"15-19",4601,"EU15DC_1998",0,"EU15DC_1998","EU15DC_1998","EU15DC_1998"
47,"40-44",4708,"EU15DC_1998",3,"EU15DC_1998","EU15DC_1998","EU15DC_1998"
2,"15-19",202,"ROE_1998",0,"ROE_1998","ROE_1998","ROE_1998"
4,"50-54",405,"ROE_1998",0,"ROE_1998","ROE_1998","ROE_1998"
8,"10-14",8015,"ROE_1998",0,"ROE_1998","ROE_1998","ROE_1998"
8,"45-49",837,"ROE_1998",1,"ROE_1998","ROE_1998","ROE_1998"
11,"45-49",11033,"ROE_1998",0,"ROE_1998","ROE_1998","ROE_1998"
15,"10-14",1502,"ROE_1998",0,"ROE_1998","ROE_1998","ROE_1998"
17,"45-49",1702,"ROE_1998",0,"ROE_1998","ROE_1998","ROE_1998"
21,"10-14",2112,"ROE_1998",0,"ROE_1998","ROE_1998","ROE_1998"
24,"35-39",2408,"ROE_1998",0,"ROE_1998","ROE_1998","ROE_1998"
28,"25-29",28047,"ROE_1998",7,"ROE_1998","ROE_1998","ROE_1998"
30,"35-39",30015,"ROE_1998",1,"ROE_1998","ROE_1998","ROE_1998"
33,"40-44",3305,"ROE_1998",0,"ROE_1998","ROE_1998","ROE_1998"
37,"15-19",3709,"ROE_1998",0,"ROE_1998","ROE_1998","ROE_1998"
41,"20-24",410199,"ROE_1998",0,"ROE_1998","ROE_1998","ROE_1998"
45,"10-14",4511,"ROE_1998",0,"ROE_1998","ROE_1998","ROE_1998"
46,"40-44",1202,"ROE_1998",0,"ROE_1998","ROE_1998","ROE_1998"
49,"30-34",490699,"ROE_1998",0,"ROE_1998","ROE_1998","ROE_1998"
3,"35-39",3063,"MAGREB_1998",0,"MAGREB_1998","MAGREB_1998","MAGREB_1998"
6,"50-54",610,"MAGREB_1998",0,"MAGREB_1998","MAGREB_1998","MAGREB_1998"
8,"30-34",827,"MAGREB_1998",80,"MAGREB_1998","MAGREB_1998","MAGREB_1998"
